hero,pick_total,pick_wins,pick_losses,ban_count,win_rate,tournament_year,tournament_title,tournament_url,Lane,Role_Normalized
jawhead,28,12,16,3,42.86,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Exp Lane,Fighter
chou,24,9,15,4,37.5,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Exp Lane,Fighter
lancelot,22,15,7,4,68.18,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Jungle,Assassin
martis,22,8,14,8,36.36,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Jungle,Fighter
kagura,22,6,16,0,27.27,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Mid Lane,Mage
bane,20,11,9,4,55.0,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Jungle,Mage
claude,18,11,7,2,61.11,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Gold Lane,Marksman
akai,17,14,3,0,82.35,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Roam,Tank
kaja,16,7,9,0,43.75,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Roam,Fighter
harley,14,5,9,0,35.71,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Jungle,Assassin
lolita,12,6,6,0,50.0,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Roam,Tank
helcurt,9,5,4,21,55.56,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Jungle,Assassin
johnson,8,6,2,3,75.0,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Roam,Tank
fanny,7,1,6,8,14.29,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Jungle,Assassin
grock,6,5,1,24,83.33,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Roam,Fighter
saber,6,4,2,0,66.67,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Jungle,Assassin
hylos,6,2,4,0,33.33,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Roam,Tank
selena,5,4,1,15,80.0,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Roam,Assassin
angela,5,3,2,0,60.0,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Roam,Other
hayabusa,5,3,2,24,60.0,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Jungle,Assassin
diggie,5,0,5,0,0.0,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Roam,Other
rafaela,4,2,2,0,50.0,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Roam,Other
aurora,3,2,1,0,66.67,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Mid Lane,Mage
lapu-lapu,3,2,1,0,66.67,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Exp Lane,Fighter
natalia,3,1,2,0,33.33,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Roam,Assassin
pharsa,2,2,0,0,100.0,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Mid Lane,Mage
vexana,2,2,0,0,100.0,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Mid Lane,Mage
alice,2,1,1,0,50.0,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Exp Lane,Mage
karrie,2,1,1,0,50.0,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Gold Lane,Marksman
karina,1,0,1,0,0.0,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Jungle,Assassin
lesley,1,0,1,0,0.0,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Gold Lane,Assassin
minotaur,1,0,1,0,0.0,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Roam,Tank
moskov,1,0,1,0,0.0,2018,MSC 2018,https://liquipedia.net/mobilelegends/MSC/2018/Statistics,Gold Lane,Marksman
chou,108,52,56,16,48.15,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Exp Lane,Fighter
kaja,95,55,40,4,57.89,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Roam,Fighter
martis,81,40,41,16,49.38,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Jungle,Fighter
gusion,79,32,47,32,40.51,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Jungle,Assassin
alice,76,44,32,32,57.89,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Exp Lane,Mage
grock,68,36,32,59,52.94,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Roam,Fighter
minotaur,67,33,34,11,49.25,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Roam,Tank
lancelot,65,35,30,1,53.85,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Jungle,Assassin
kagura,64,39,25,1,60.94,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Mid Lane,Mage
akai,50,23,27,2,46.0,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Roam,Tank
karrie,45,24,21,26,53.33,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Gold Lane,Marksman
claude,44,22,22,75,50.0,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Gold Lane,Marksman
helcurt,43,24,19,74,55.81,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Jungle,Assassin
harley,37,14,23,0,37.84,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Jungle,Assassin
gatotkaca,35,17,18,0,48.57,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Roam,Fighter
selena,34,20,14,72,58.82,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Roam,Assassin
lolita,33,16,17,0,48.48,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Roam,Tank
aldous,27,10,17,5,37.04,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Exp Lane,Fighter
hanabi,24,13,11,1,54.17,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Gold Lane,Marksman
lunox,22,12,10,67,54.55,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Mid Lane,Mage
clint,17,10,7,0,58.82,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Gold Lane,Marksman
hylos,17,6,11,0,35.29,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Roam,Tank
saber,16,5,11,0,31.25,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Jungle,Assassin
aurora,14,6,8,0,42.86,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Mid Lane,Mage
ruby,13,8,5,0,61.54,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Exp Lane,Fighter
lapu-lapu,13,7,6,0,53.85,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Exp Lane,Fighter
moskov,12,8,4,0,66.67,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Gold Lane,Marksman
hayabusa,10,2,8,2,20.0,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Jungle,Assassin
leomord,9,6,3,15,66.67,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Jungle,Fighter
johnson,9,2,7,0,22.22,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Roam,Tank
fanny,8,1,7,1,12.5,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Jungle,Assassin
natalia,5,1,4,0,20.0,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Roam,Assassin
alpha,4,2,2,0,50.0,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Jungle,Fighter
thamuz,4,2,2,0,50.0,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Exp Lane,Fighter
gord,4,0,4,0,0.0,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Mid Lane,Mage
angela,3,2,1,0,66.67,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Roam,Other
roger,3,2,1,0,66.67,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Jungle,Marksman
jawhead,3,1,2,0,33.33,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Exp Lane,Fighter
lesley,3,1,2,0,33.33,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Gold Lane,Assassin
valir,3,1,2,0,33.33,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Mid Lane,Mage
franco,2,1,1,0,50.0,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Roam,Tank
vexana,2,1,1,0,50.0,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Mid Lane,Mage
diggie,1,1,0,0,100.0,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Roam,Other
eudora,1,1,0,0,100.0,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Mid Lane,Mage
irithel,1,1,0,0,100.0,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Gold Lane,Marksman
karina,1,1,0,0,100.0,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Jungle,Assassin
belerick,1,0,1,0,0.0,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Roam,Tank
bruno,1,0,1,0,0.0,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Gold Lane,Marksman
cyclops,1,0,1,0,0.0,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Mid Lane,Mage
sun,1,0,1,0,0.0,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Exp Lane,Fighter
zilong,1,0,1,0,0.0,2018,MPL Indonesia Season 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2/Statistics,Exp Lane,Assassin
chou,89,48,41,5,53.93,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Exp Lane,Fighter
harley,87,46,41,20,52.87,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Jungle,Assassin
hylos,77,34,43,9,44.16,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Roam,Tank
akai,75,41,34,35,54.67,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Roam,Tank
grock,75,36,39,3,48.0,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Roam,Fighter
saber,73,36,37,13,49.32,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Jungle,Assassin
hayabusa,61,32,29,22,52.46,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Jungle,Assassin
cyclops,58,23,35,1,39.66,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Mid Lane,Mage
kagura,46,30,16,77,65.22,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Mid Lane,Mage
lancelot,46,25,21,79,54.35,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Jungle,Assassin
karrie,41,22,19,0,53.66,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Gold Lane,Marksman
hilda,38,18,20,12,47.37,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Roam,Fighter
lesley,38,15,23,0,39.47,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Gold Lane,Assassin
johnson,37,16,21,16,43.24,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Roam,Tank
lolita,36,18,18,0,50.0,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Roam,Tank
alpha,36,15,21,0,41.67,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Jungle,Fighter
bruno,34,19,15,0,55.88,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Gold Lane,Marksman
helcurt,31,16,15,48,51.61,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Jungle,Assassin
aurora,27,15,12,1,55.56,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Mid Lane,Mage
fanny,26,10,16,46,38.46,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Jungle,Assassin
angela,23,9,14,33,39.13,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Roam,Other
zhask,21,12,9,11,57.14,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Mid Lane,Mage
balmond,17,9,8,10,52.94,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Jungle,Fighter
yi sun-shin,17,9,8,0,52.94,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Jungle,Assassin
zilong,17,5,12,0,29.41,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Exp Lane,Assassin
diggie,14,8,6,12,57.14,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Roam,Other
lapu-lapu,13,4,9,0,30.77,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Exp Lane,Fighter
natalia,12,7,5,4,58.33,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Roam,Assassin
estes,10,8,2,0,80.0,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Roam,Other
layla,10,7,3,0,70.0,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Gold Lane,Marksman
moskov,8,5,3,0,62.5,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Gold Lane,Marksman
alucard,8,3,5,0,37.5,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Jungle,Assassin
rafaela,7,3,4,0,42.86,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Roam,Other
gusion,6,5,1,41,83.33,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Jungle,Assassin
sun,6,5,1,0,83.33,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Exp Lane,Fighter
jawhead,6,4,2,0,66.67,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Exp Lane,Fighter
miya,5,2,3,0,40.0,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Gold Lane,Marksman
freya,4,1,3,0,25.0,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Exp Lane,Fighter
karina,3,1,2,0,33.33,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Jungle,Assassin
irithel,3,0,3,0,0.0,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Gold Lane,Marksman
minotaur,2,1,1,0,50.0,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Roam,Tank
roger,2,1,1,0,50.0,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Jungle,Marksman
alice,2,0,2,0,0.0,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Exp Lane,Mage
pharsa,1,1,0,0,100.0,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Mid Lane,Mage
argus,1,0,1,0,0.0,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Exp Lane,Fighter
clint,1,0,1,0,0.0,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Gold Lane,Marksman
gord,1,0,1,0,0.0,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Mid Lane,Mage
ruby,1,0,1,0,0.0,2018,MPL Indonesia Season 1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1/Statistics,Exp Lane,Fighter
kagura,15,9,6,0,60.0,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Mid Lane,Mage
jawhead,15,7,8,1,46.67,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Exp Lane,Fighter
akai,13,8,5,2,61.54,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Roam,Tank
martis,13,8,5,2,61.54,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Jungle,Fighter
lolita,11,6,5,0,54.55,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Roam,Tank
alpha,11,5,6,0,45.45,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Jungle,Fighter
harley,10,5,5,0,50.0,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Jungle,Assassin
grock,8,3,5,8,37.5,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Roam,Fighter
chou,7,6,1,8,85.71,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Exp Lane,Fighter
helcurt,7,4,3,9,57.14,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Jungle,Assassin
saber,7,4,3,0,57.14,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Jungle,Assassin
gusion,7,3,4,9,42.86,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Jungle,Assassin
angela,6,1,5,0,16.67,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Roam,Other
fanny,4,2,2,12,50.0,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Jungle,Assassin
lancelot,3,2,1,13,66.67,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Jungle,Assassin
hylos,3,1,2,0,33.33,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Roam,Tank
cyclops,3,0,3,0,0.0,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Mid Lane,Mage
johnson,3,0,3,0,0.0,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Roam,Tank
vexana,3,0,3,0,0.0,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Mid Lane,Mage
rafaela,2,2,0,0,100.0,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Roam,Other
karina,2,1,1,0,50.0,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Jungle,Assassin
argus,2,0,2,0,0.0,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Exp Lane,Fighter
karrie,1,1,0,0,100.0,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Gold Lane,Marksman
pharsa,1,1,0,0,100.0,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Mid Lane,Mage
tigreal,1,1,0,0,100.0,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Roam,Tank
lapu-lapu,1,0,1,0,0.0,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Exp Lane,Fighter
ruby,1,0,1,0,0.0,2018,MPL Philippines Season 1,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1/Statistics,Exp Lane,Fighter
khufra,21,8,13,5,38.1,2019,MPL Philippines Season 3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3/Statistics,Roam,Tank
harith,18,11,7,10,61.11,2019,MPL Philippines Season 3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3/Statistics,Mid Lane,Mage
akai,18,10,8,6,55.56,2019,MPL Philippines Season 3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3/Statistics,Roam,Tank
chou,18,8,10,10,44.44,2019,MPL Philippines Season 3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3/Statistics,Exp Lane,Fighter
leomord,17,11,6,5,64.71,2019,MPL Philippines Season 3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3/Statistics,Jungle,Fighter
thamuz,17,9,8,5,52.94,2019,MPL Philippines Season 3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3/Statistics,Exp Lane,Fighter
lunox,16,7,9,7,43.75,2019,MPL Philippines Season 3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3/Statistics,Mid Lane,Mage
minotaur,14,9,5,8,64.29,2019,MPL Philippines Season 3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3/Statistics,Roam,Tank
esmeralda,13,6,7,3,46.15,2019,MPL Philippines Season 3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3/Statistics,Exp Lane,Mage
grock,13,6,7,15,46.15,2019,MPL Philippines Season 3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3/Statistics,Roam,Fighter
claude,11,5,6,14,45.45,2019,MPL Philippines Season 3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3/Statistics,Gold Lane,Marksman
guinevere,9,3,6,1,33.33,2019,MPL Philippines Season 3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3/Statistics,Exp Lane,Fighter
franco,8,5,3,3,62.5,2019,MPL Philippines Season 3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3/Statistics,Roam,Tank
hayabusa,8,2,6,3,25.0,2019,MPL Philippines Season 3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3/Statistics,Jungle,Assassin
kadita,7,3,4,2,42.86,2019,MPL Philippines Season 3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3/Statistics,Mid Lane,Assassin
karrie,7,3,4,5,42.86,2019,MPL Philippines Season 3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3/Statistics,Gold Lane,Marksman
kimmy,6,5,1,21,83.33,2019,MPL Philippines Season 3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3/Statistics,Gold Lane,Mage
kaja,6,4,2,22,66.67,2019,MPL Philippines Season 3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3/Statistics,Roam,Fighter
alice,6,3,3,3,50.0,2019,MPL Philippines Season 3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3/Statistics,Exp Lane,Mage
aldous,5,3,2,4,60.0,2019,MPL Philippines Season 3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3/Statistics,Exp Lane,Fighter
belerick,5,3,2,0,60.0,2019,MPL Philippines Season 3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3/Statistics,Roam,Tank
selena,5,3,2,7,60.0,2019,MPL Philippines Season 3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3/Statistics,Roam,Assassin
helcurt,5,1,4,0,20.0,2019,MPL Philippines Season 3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3/Statistics,Jungle,Assassin
lolita,4,3,1,0,75.0,2019,MPL Philippines Season 3,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3/Statistics,Roam,Tank
